Algorithm,Sequential Compression Ratio,Sequential Write Transfer Speed (MB/s),Sequential Write IOPS,Sequential Read Transfer Speed (MB/s),Sequential Read IOPS,Sequential Read/Write Transfer Speed (MB/s),Sequential Read/Write IOPS,Random Compression Ratio,Random Write Transfer Speed (MB/s),Random Write IOPS,Random Read Transfer Speed (MB/s),Random Read IOPS,Random Read/Write Transfer Speed (MB/s),Random Read/Write IOPS,Normalized Sequential Compression Ratio,Normalized Sequential Write Transfer Speed (MB/s),Normalized Sequential Write IOPS,Normalized Sequential Read Transfer Speed (MB/s),Normalized Sequential Read IOPS,Normalized Sequential Read/Write Transfer Speed (MB/s),Normalized Sequential Read/Write IOPS,Normalized Random Compression Ratio,Normalized Random Write Transfer Speed (MB/s),Normalized Random Write IOPS,Normalized Random Read Transfer Speed (MB/s),Normalized Random Read IOPS,Normalized Random Read/Write Transfer Speed (MB/s),Normalized Random Read/Write IOPS,Score
gzip-6,3.07,160800,1256,1589136,12415,253562,2159,1.98,191334,23916,1184671.0,148083.0,518481,30851,0.8387978142076502,0.1086460059079644,0.1086317246151185,0.21629476180008805,0.21629296677642468,0.15493558455398015,0.15492250287026407,1.0,0.5563458093931005,0.5563283630696224,0.505423182285736,0.505421705251733,0.6018987496067489,0.6018885225432624,0.7496240672528708
gzip-5,3.03,159031,1242,1507267,11775,243547,2073,1.98,192120,24015,1179553.0,147444.0,518973,30881,0.8278688524590163,0.10745076471112865,0.10742086144265697,0.20515170302235514,0.20514294674123243,0.14881605607846685,0.14875143513203215,1.0,0.5586312777687316,0.5586312777687316,0.5032396597322689,0.5032407360003277,0.6024699068618972,0.6024738084554305,0.74468513441191
gzip-4,2.93,161773,1263,1514232,11829,238123,2027,1.97,190003,23750,1175322.0,146915.0,526816,31347,0.8005464480874317,0.1093034223491861,0.10923715620134924,0.20609969804350978,0.20608372968170177,0.14550179522462917,0.14545063145809414,0.9949494949494949,0.5524756333015423,0.5524669101398032,0.5014345632250944,0.5014352074651267,0.6115747571710999,0.6115652496244416,0.7343634324930046
gzip-3,2.8,184504,1441,1544203,12064,298799,2544,1.92,219889,27486,1164463.0,145557.0,534028,31777,0.7650273224043715,0.12466183255001906,0.12463241653693133,0.21017900296512154,0.21017787766337392,0.1825770333454726,0.182548794489093,0.9696969696969697,0.6393757705459536,0.639372862825374,0.4968017239503584,0.4968002211687128,0.6199470866916877,0.6199543476988509,0.7141199791737665
gzip-2,2.72,183903,1436,1446072,11297,315399,2685,1.89,228030,28503,1105533.0,138191.0,565550,33652,0.7431693989071039,0.12425576134634563,0.12419996540390936,0.19682254935120527,0.1968152755274482,0.19272023581112624,0.19266647531572906,0.9545454545454545,0.6630475237851543,0.6630300774616762,0.47166007016454065,0.4716593455727007,0.656540621237995,0.6565347172093567,0.6946380927089602
zstd-fast,2.19,1394382,10893,4876190,38095,1288250,10970,1.12,323986,40498,2007843.0,250980.0,783173,46602,0.5983606557377049,0.9421270833952687,0.9421380384016607,0.6636904296057552,0.6636875206885138,0.7871675046011033,0.7871699196326062,0.5656565656565657,0.9420607597292331,0.9420549442880737,0.8566179121377487,0.8566191904815539,0.9091767093215882,0.9091831359619174,0.6580115443903494
lz4,1.96,1407560,10996,4404301,34408,1636564,13936,1.08,333482,41685,2247462.0,280932.0,797274,47441,0.53551912568306,0.9510309208694924,0.9510465317419131,0.5994623718114055,0.5994529521420234,1.0,1.0,0.5454545454545455,0.9696724743539045,0.9696666589127452,0.9588479806682739,0.9588482844065818,0.9255464013029815,0.9255516319722185,0.6512221949298567
zstd-fast-2,2.1,1227265,9588,4589355,35854,1284230,10936,1.11,324499,40562,1985939.0,248242.0,754327,44885,0.5737704918032787,0.8292129380636687,0.8292682926829268,0.6246497760676514,0.6246450286590358,0.7847111387027944,0.7847301951779564,0.5606060606060607,0.9435524203866106,0.9435436972248715,0.8472728793102492,0.8472741297454853,0.8756897130166971,0.8756852722554969,0.6426263040553797
zstd-fast-1,2.19,1227265,9588,4085785,31920,1103474,9396,1.12,326439,40804,1955131.0,244391.0,779819,46402,0.5983606557377049,0.8292129380636687,0.8292682926829268,0.5561096679839691,0.5561072492552135,0.6742626625051021,0.6742250287026407,0.5656565656565657,0.9491933983111959,0.9491730442671381,0.8341290803991094,0.8341302915809126,0.9052830885212483,0.9052812298807967,0.641631292521859
zstd-fast-3,2.0,1429668,11169,4979939,38905,1308731,11144,1.09,321633,40204,1941232.0,242654.0,743713,44254,0.5464480874316939,0.965968395363356,0.9660093409444733,0.6778115402230953,0.677799264795554,0.7996821389203234,0.7996555683122847,0.5505050505050505,0.9352188932052385,0.9352159854846589,0.8281992679781169,0.8282017413623037,0.8633680400367305,0.8633747585695613,0.6314415557264073
